"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-01",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-02",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-03",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-04",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-05",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-06",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-07",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-08",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-09",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-10",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-11",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-12",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-13",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-15",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-16",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-17",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-18",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-19",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-20",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-21",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-22",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-23",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-24",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-25",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-26",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-29",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-30",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-01-31",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-02-01",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-02-02",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-02-04",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-02-05",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-02-06",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-02-07",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-02-08",,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.039861","-77.004083","103.3","2023-02-09",,,,
